Release 8.1i - Fit K.37
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 9-16-2008  5:18PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  USBAER_top_level.ngd
output file: USBAER_top_level_pad.csv
Part type:   xc2c256
Speed grade: -7
Package:     vq100

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,FifoInFullxSBI,I,I/O/GTS2,INPUT,LVCMOS33,2,,FAST,,,,
P2,FifoOutEmptyxSBI,I,I/O/GTS3,INPUT,LVCMOS33,2,,FAST,,,,
P3,FifoDataxDIO<7>,I/O,I/O/GTS0,BIDIR,LVCMOS33,2,,FAST,,,,
P4,FifoDataxDIO<6>,I/O,I/O/GTS1,BIDIR,LVCMOS33,2,,FAST,,,,
P5,,VCCAUX,VAUX,,,,,,,,,,
P6,FifoDataxDIO<5>,I/O,I/O,BIDIR,LVCMOS33,2,,FAST,,,,
P7,FifoDataxDIO<4>,I/O,I/O,BIDIR,LVCMOS33,2,,FAST,,,,
P8,FifoDataxDIO<3>,I/O,I/O,BIDIR,LVCMOS33,2,,FAST,,,,
P9,FifoDataxDIO<2>,I/O,I/O,BIDIR,LVCMOS33,2,,FAST,,,,
P10,FifoDataxDIO<1>,I/O,I/O,BIDIR,LVCMOS33,2,,FAST,,,,
P11,FifoDataxDIO<0>,I/O,I/O,BIDIR,LVCMOS33,2,,FAST,,,,
P12,FifoReadxEBO,O,I/O,OUTPUT,LVCMOS33,2,,FAST,,,,
P13,FifoWritexEBO,O,I/O,OUTPUT,LVCMOS33,2,,FAST,,,,
P14,SyncInxAI,I,I/O,INPUT,LVCMOS33,1,,FAST,,,,
P15,SynchOutxSO,O,I/O,OUTPUT,LVCMOS33,1,,FAST,,,,
P16,LEDxSO,O,I/O,OUTPUT,LVCMOS33,1,,FAST,,,,
P17,AERSnifACKxABI,I,I/O,INPUT,LVCMOS33,1,,FAST,,,,
P18,AERSnifREQxSBO,O,I/O,OUTPUT,LVCMOS33,1,,SLOW,,,,
P19,AERMonitorAddressxDI<8>,I,I/O,INPUT,LVCMOS33,1,,FAST,,,,
P20,,VCCIO-3.3,VCCIO,,,1,,,,,,,
P21,GND,,GND,,,,,,,,,,
P22,AERMonitorAddressxDI<7>,I,I/O/GCK0,INPUT,LVCMOS33,1,,FAST,,,,
P23,ClockxCI,GCK,I/O/GCK1,,LVCMOS33,1,,FAST,,,,
P24,AERMonitorAddressxDI<9>,I,I/O/CDR,INPUT,LVCMOS33,1,,FAST,,,,
P25,GND,,GND,,,,,,,,,,
P26,,VCC,VCC,,,,,,,,,,
P27,AERMonitorAddressxDI<6>,I,I/O/GCK2,INPUT,LVCMOS33,1,,FAST,,,,
P28,AERMonitorAddressxDI<10>,I,I/O/DGE0,INPUT,LVCMOS33,1,,FAST,,,,
P29,AERMonitorAddressxDI<5>,I,I/O,INPUT,LVCMOS33,1,,FAST,,,,
P30,AERMonitorAddressxDI<11>,I,I/O,INPUT,LVCMOS33,1,,FAST,,,,
P31,GND,,GND,,,,,,,,,,
P32,AERMonitorAddressxDI<4>,I,I/O,INPUT,LVCMOS33,1,,FAST,,,,
P33,AERMonitorAddressxDI<12>,I,I/O,INPUT,LVCMOS33,1,,FAST,,,,
P34,AERMonitorAddressxDI<3>,I,I/O,INPUT,LVCMOS33,1,,FAST,,,,
P35,AERMonitorAddressxDI<13>,I,I/O,INPUT,LVCMOS33,1,,FAST,,,,
P36,AERMonitorAddressxDI<2>,I,I/O,INPUT,LVCMOS33,1,,FAST,,,,
P37,AERMonitorAddressxDI<14>,I,I/O,INPUT,LVCMOS33,1,,FAST,,,,
